music_id,artist_name,track_name,genres,average_rating
75,Cat Power,Shaking Paper,indie|alternative|folk,3.0
76,Cat Power,Names,indie|folk,3.0
77,Jimi Hendrix,Purple Haze,rock|psychedelic rock,2.6666666666666665
78,Jimi Hendrix,Machine Gun,rock|blues|psychedelic,4.0
79,Blink-182,Easy Target,punk|rock,3.0
80,Blink-182,Down,pop punk|punk rock,2.333333333333333
81,Blink-182,I Miss You,pop|punk|rock,2.75
82,Blink-182,Here'S Your Letter,pop punk|alternative rock,3.0
83,The Game,Hate It Or Love It,hip-hop|rap,4.0
84,Dave Matthews Band,Grey Street,rock|alternative rock|jam band,3.6666666666666665
85,Dave Matthews Band,Satellite,rock|alternative,3.6666666666666665
86,Dave Matthews Band,Pay For What You Get,rock|alternative rock|jam band,1.0
87,Dave Matthews Band,Typical Situation,rock|jam band,1.0
88,Dave Matthews Band,Ants Marching,rock|alternative,2.0
89,Paul Van Dyk,For An Angel,trance|electronic,3.5
90,The All-American Rejects,Drive Away,pop|rock,4.0
91,The All-American Rejects,Dirty Little Secret,pop|rock,4.25
92,The All-American Rejects,Your Star,alternative|rock,3.5
93,The All-American Rejects,"Swing, Swing",pop|rock|alternative,3.6666666666666665
94,The All-American Rejects,Don'T Leave Me,pop|rock,4.0
95,The All-American Rejects,Move Along,alternative|pop-rock,4.0
96,The All-American Rejects,The Last Song,pop|rock|alternative,4.0
97,Zongamin,Bongo Song,electronic|dance|house,3.0
98,Maroon 5,Nothing Lasts Forever,pop|r&b,4.5
99,Thursday,War All The Time,post-hardcore|emo,1.0
100,Thursday,Understanding In A Car Crash,post-hardcore|emo|screamo,2.0
101,The Good Life,You Don'T Feel Like Home To Me,indie|alternative|folk,4.0
102,The Good Life,"Little Bit More, A",indie rock|alternative rock,4.0
103,The Good Life,Notes In His Pockets,indie|emo|alternative,4.0
104,Twista,Overnight Celebrity,hip-hop|rap|r&b,4.0
105,Sugarcult,She'S The Blade,rock|punk,3.0
106,Sugarcult,Memory,pop|punk,4.0
107,65Daysofstatic,Retreat! Retreat!,post-rock|instrumental,3.0
108,The Futureheads,Decent Days And Nights,indie rock|post-punk revival,3.7142857142857135
109,The Futureheads,Meantime,indie rock|post-punk,3.75
110,The Futureheads,Area,indie rock|post-punk,2.6666666666666665
111,Kim Sozzi,Break Up (Cascada Remix),dance|pop|electronic,5.0
112,Boston,More Than A Feeling,rock|classic rock,2.5
113,Hot Hot Heat,Get In Or Get Out,indie rock|new wave|dance-punk,3.0
114,Wu-Tang Clan,Shaolin Worldwide,hip-hop|rap,2.0
115,Creedence Clearwater Revival,It Came Out Of The Sky,rock|folk rock|blues rock,4.0
116,Creedence Clearwater Revival,Walkin' On The Water,rock|folk rock,2.0
117,Creedence Clearwater Revival,The Midnight Special,rock|blues|folk,3.5
118,Creedence Clearwater Revival,Sweet Hitch-Hiker,rock|classic rock,3.5
119,Creedence Clearwater Revival,Good Golly Miss Molly,rock|classic rock|roots rock,3.0
120,Creedence Clearwater Revival,Someday Never Comes,rock|folk rock|roots rock,3.0
121,The White Stripes,The Hardest Button To Button,rock|alternative|garage rock,3.0
122,The White Stripes,300 M.P.H. Torrential Outpour Blues,alternative|rock,3.6666666666666665
123,The White Stripes,My Doorbell,alternative rock|garage rock,2.6666666666666665
124,The White Stripes,Effect And Cause,rock|garage rock,2.75
125,The White Stripes,Seven Nation Army,rock|garage rock|alternative rock,3.615384615384616
126,The White Stripes,Rag And Bone,alternative|garage rock,2.5
127,The White Stripes,You'Ve Got Her In Your Pocket,rock|alternative|indie,5.0
128,The White Stripes,"Girl, You Have No Faith In Medicine",rock|garage rock|blues rock,3.5
129,The White Stripes,Hello Operator,rock|garage rock|blues rock,3.0
130,The White Stripes,Icky Thump,alternative|garage rock|blues rock,2.9166666666666665
131,The White Stripes,A Martyr For My Love For You,rock|alternative,3.0
132,The White Stripes,Little Cream Soda,rock|garage rock|alternative rock,3.333333333333333
133,The White Stripes,Catch Hell Blues,rock|blues,3.6666666666666665
134,The White Stripes,Conquest,rock|alternative|garage,3.6
135,The White Stripes,Hypnotize,rock|alternative rock|garage rock,4.0
136,The White Stripes,There'S No Home For You Here,alternative|indie|rock,2.6666666666666665
137,The White Stripes,Black Math,rock|garage rock|blues rock,3.333333333333333
138,The White Stripes,I'M Slowly Turning Into You,rock|alternative,2.75
139,The White Stripes,You Don'T Know What Love Is (You Just Do As You'Re Told),rock|blues,3.0
140,Nelly Furtado,Maneater,pop|dance-pop|r&b,3.1
141,Nelly Furtado,Promiscuous,pop|r&b|hip hop,3.0
142,Bad Religion,Generator,punk rock,3.0
143,Kanye West,Stronger,hip-hop|electronic,3.8
144,Kanye West,Flashing Lights,hip-hop|rap,3.7142857142857135
145,Kanye West,Bring Me Down (Feat. Brandy),hip-hop|r&b,2.0
146,Kanye West,Addiction,hip hop|r&b,2.5
147,Kanye West,Can'T Tell Me Nothing,hip-hop|rap,3.2857142857142856
148,Copeland,Pin Your Wings,indie|alternative|rock,4.5
149,Motion City Soundtrack,My Favorite Accident,rock|pop-punk|alternative,4.0
150,Motion City Soundtrack,Modern Chemistry,pop|punk|rock,4.0
151,Frank Sinatra,Strangers In The Night,pop|easy listening|jazz,4.75
152,Frank Sinatra,The Best Is Yet To Come,jazz|swing,4.0
153,Frank Sinatra,Summer Wind,vocal jazz|easy listening,4.0
154,Frank Sinatra,That'S Life,swing|jazz|vocal jazz|traditional pop,4.0
155,Frank Sinatra,"Theme From New York, New York",jazz|big band,4.0
156,Frank Sinatra,Fly Me To The Moon,jazz|swing,4.5
157,Frank Sinatra,Night And Day,jazz|swing,4.0
158,Frank Sinatra,My Kind Of Town,pop|jazz|vocal,4.0
159,Frank Sinatra,Send In The Clowns,jazz|traditional pop,3.5
160,Funeral For A Friend,Streetcar,rock|post-hardcore,4.5
161,Funeral For A Friend,Kiss And Make Up,rock|emo|post-hardcore,5.0
162,Funeral For A Friend,You Want Romance?,emo|post-hardcore|alternative rock,5.0
163,Funeral For A Friend,Escape Artists Never Die,post-hardcore|emo|alternative rock,5.0
164,Funeral For A Friend,Moments Forever Faded,alternative|rock|post-hardcore,3.5
165,Funeral For A Friend,Waking Up,rock|alternative,4.0
166,Funeral For A Friend,Rookie Of The Year,rock|alternative,3.5
167,Looper,Mondo '77,electronic|trip hop|experimental,2.0
168,The Get Up Kids,Valentine,emo|indie rock,4.0
169,Afi,Summer Shudder,alternative|rock|punk,4.0
170,Afi,Morningstar,rock|alternative rock|punk rock,4.0
171,Afi,Initiation,post-hardcore|punk rock|alternative rock,2.0
172,Afi,Prelude 12/21,alternative|punk|rock,3.75
173,Afi,Kill Caustic,rock|punk,4.0
174,Afi,Affliction,punk|alternative,4.0
175,Afi,The Leaving Song,rock|punk,5.0
176,Afi,The Despair Factor,rock|punk,4.0
177,Afi,"Endlessly, She Said",rock|alternative,3.25
178,Afi,Miss Murder,alternative|post-hardcore|punk,3.4
179,Afi,Third Season,punk|rock,4.0
180,Afi,Sacrifice Theory,rock|punk rock|alternative rock,2.5
181,Afi,Love Like Winter,alternative|rock|punk,3.6666666666666665
182,Afi,Miseria Cantare: The Beginning,alternative|rock|emo,3.0
183,Afi,...But Home Is Nowhere,alternative|punk|rock,4.0
184,Afi,The Nephilim,rock|alternative,3.0
185,Afi,Silver And Cold,alternative|rock|emo,4.5
186,Afi,The Interview,rock|alternative rock|punk,4.0
187,Afi,Smile,punk|alternative|rock,4.0
188,Afi,37Mm,alternative|rock,4.0
189,Afi,The Great Disappointment,punk|rock,4.0
190,Afi,A Single Second,rock|alternative,4.0
191,Afi,A Story At Three,rock|punk,4.0
192,Afi,The Killing Lights,rock|alternative|post-hardcore,4.0
193,Afi,Kiss And Control,alternative|rock,3.0
194,Fergie,Fergalicious,pop|hip-hop|r&b,4.0
195,Fergie,Pedestal,pop|hip hop,3.0
196,Fergie,Voodoo Doll,pop|dance-pop|r&b,3.0
197,Röyksopp,Beautiful Day Without You,electronic|downtempo,4.0
198,Röyksopp,Circuit Breaker,electronic|ambient,4.0
199,Röyksopp,49 Percent,electronic|downtempo|synth-pop,4.0
200,Röyksopp,Someone Like Me,electronic|synth-pop,3.25
201,Röyksopp,Remind Me,electronica|downtempo|trip hop,3.4
202,Röyksopp,What Else Is There,electronic|downtempo|mellow,3.6666666666666665
203,Röyksopp,Sombre Detune,electronic|downtempo,3.5
204,Röyksopp,Follow My Ruin,electronic|downtempo,3.25
205,Röyksopp,Dead To The World,electronic|downtempo|ambient,3.333333333333333
206,Röyksopp,Only This Moment,electronic|downtempo|synthpop,3.2857142857142856
207,Röyksopp,Triumphant,electronic|experimental,3.5
208,Vitalic,La Rock 01,electronic|techno,4.0
209,Pinback,Fortress,indie|alternative|rock,3.5
210,Redman,Put It Down,hip-hop|rap,3.0
211,The Flaming Lips,Are You A Hypnotist??,psychedelic|experimental|indie,3.0
212,Midnight Juggernauts,Dystopia,electronic|indie rock|synthpop,2.0
213,The Mars Volta,The Widow,rock|progressive rock|experimental rock,3.25
214,The Mars Volta,Miranda That Ghost Just Isn'T Holy Anymore,progressive rock|experimental rock|post-hardcore,3.0
215,Atb,Long Way Home,trance|dance|electronic,4.0
216,Atb,Sunset Girl,trance|electronic,4.0
217,Atb,Break My Heart,electronic|trance,4.0
218,Atb,Black Nights,trance|electronic,4.0
219,Atb,Gentle Melody,trance|progressive house,4.0
220,Atb,Ecstasy,trance|progressive house|dance,4.0
221,Thrice,Image Of The Invisible,rock|alternative|post-hardcore,4.0
222,Kool & The Gang,Jungle Boogie,funk|r&b|soul,3.0
223,Avenged Sevenfold,Beast And The Harlot,metal|hard rock,3.0
224,Télépopmusik,Smile,electronic|chillout|downtempo,3.5
225,Télépopmusik,Love Can Damage Your Health,electronic|downtempo,3.6666666666666665
226,Télépopmusik,Dance Me,electronic|downtempo|trip hop,3.6666666666666665
227,Télépopmusik,Breathe,electronic|downtempo|trip-hop,4.0
228,Télépopmusik,Let'S Go Again,electronic|downtempo|trip hop,4.0
229,Télépopmusik,Yesterday Was A Lie,electronic|downtempo|trip hop,4.0
230,Télépopmusik,Genetic World,electronic|trip hop,3.75
231,Peaches,Fuck The Pain Away,electronic|alternative dance|electroclash,3.5
232,The Postal Service,The District Sleeps Alone Tonight,indie|electronic,3.4444444444444446
233,The Postal Service,Recycled Air,electronic|indie pop,2.5
234,The Postal Service,Natural Anthem,electronic|indie pop,2.4
235,The Postal Service,Nothing Better,indie|electronic|pop,3.4
236,The Postal Service,Such Great Heights,electronic|indie pop,3.52
237,Kevin Rudolf,Let It Rock,pop|rock,2.333333333333333
238,The Fray,How To Save A Life,pop|rock,3.4545454545454546
239,Gwen Stefani,Wonderful Life,pop|dance-pop,3.0
240,Gwen Stefani,Early Winter,pop|pop rock|alternative rock,3.4285714285714284
241,Gwen Stefani,The Sweet Escape,pop|dance-pop,3.1818181818181817
242,Gwen Stefani,Breakin' Up,pop|dance-pop|electropop,3.0
243,Gwen Stefani,Now That You Got It,pop|dance|r&b,3.0
244,Gwen Stefani,Orange County Girl,pop|dance-pop,3.0
245,Kylie Minogue,Can'T Get You Out Of My Head,pop|dance,2.333333333333333
246,Beck,Loser,alternative|indie|rock,3.1666666666666665
247,Beck,Lonesome Tears,alternative|experimental|indie,3.5
248,Beck,Lost Cause,indie rock|alternative rock,3.0
249,Dominic Plaza,Sounds Rushing,progressive house|techno,4.0
250,Spitalfield,In The Same Lifetime,emo|pop punk|alternative rock,3.0
251,Imogen Heap,The Walk,electronic|experimental,3.5
252,Imogen Heap,Loose Ends,pop|electronic,3.6666666666666665
253,Imogen Heap,Goodnight And Go,electropop|alternative pop,3.571428571428572
254,Imogen Heap,Hide And Seek,electropop|experimental,4.153846153846154
255,Nightmare Of You,I Want To Be Buried In Your Backyard,indie|alternative|rock,3.0
256,Usher,Love In This Club,r&b|pop,4.0
257,Taking Back Sunday,Liar (It Takes One To Know One),alternative rock|emo,4.0
258,Taking Back Sunday,There'S No 'I' In Team,emo|alternative rock|post-hardcore,3.0
259,Taking Back Sunday,Cute Without The 'E' (Cut From The Team),rock|emo|alternative,2.5
260,Taking Back Sunday,Miami,rock|alternative rock|emo,4.0
261,Taking Back Sunday,Set Phasers To Stun,alternative|emo|rock,2.0
262,Taking Back Sunday,Number Five With A Bullet,rock|emo|alternative,2.0
263,Taking Back Sunday,Makedamnsure,rock|pop punk|alternative rock,3.75
264,Taking Back Sunday,Little Devotional,emo|alternative rock,2.0
265,Taking Back Sunday,Ghost Man On Third,emo|pop punk|alternative rock,3.0
266,Taking Back Sunday,My Blue Heaven,emo|alternative rock,3.0
267,Eric Prydz,Call On Me,house|dance|electronic,3.0
268,Lasgo,Surrender,electronic|dance|trance,2.0
269,Yellowcard,Back Home,pop|punk|alternative,4.0
270,Yellowcard,"One Year, Six Months",pop-punk|alternative rock,4.0
271,The Like,What I Say And What I Mean,indie|alternative|pop,3.0
272,Rage Against The Machine,Sleep Now In The Fire,rock|alternative|metal,3.6666666666666665
273,Rage Against The Machine,Testify,rock|metal|alternative,3.5
274,Rage Against The Machine,New Millennium Homes,rock|alternative metal|rap metal,3.4
275,Rage Against The Machine,Born As Ghosts,rock|alternative|metal,3.0
276,Rage Against The Machine,Ashes In The Fall,rock|alternative|metal,3.0
277,Rage Against The Machine,Calm Like A Bomb,rock|alternative metal|rap metal,3.571428571428572
278,Rage Against The Machine,War Within A Breath,rock|metal|rap,3.0
279,Rage Against The Machine,Voice Of The Voiceless,rock|rap metal|alternative metal,2.75
280,Rage Against The Machine,Mic Check,rock|rap metal|alternative metal,3.0
281,Rage Against The Machine,Born Of A Broken Man,rock|alternative metal|funk metal,3.6666666666666665
282,Rage Against The Machine,Guerilla Radio,rock|alternative rock|rap metal,3.5
283,Rage Against The Machine,Maria,rock|alternative metal|rap metal,3.2
284,Oasis,Rockin' Chair,rock|britpop,3.0
285,Oasis,The Masterplan,rock|britpop,3.5
286,Oasis,Don'T Look Back In Anger,britpop|alternative rock,2.7777777777777777
287,Oasis,Wonderwall,britpop|alternative rock,3.375
288,Oasis,Little By Little,rock|britpop|alternative,3.0
289,Oasis,Morning Glory,rock|britpop,3.333333333333333
290,Oasis,Columbia,rock|britpop,3.333333333333333
291,Oasis,Sad Song,rock|britpop,3.0
292,Oasis,Married With Children,rock|britpop,4.0
293,Oasis,Champagne Supernova,rock|britpop,3.375
294,Oasis,Up In The Sky,indie|britpop|alternative,3.0
295,Oasis,Going Nowhere,rock|britpop,3.0
296,Oasis,The Importance Of Being Idle,rock|britpop,3.0
297,Oasis,Lyla,rock|britpop,3.0
298,Oasis,Supersonic,rock|britpop|alternative,3.4
299,Oasis,She'S Electric,rock|britpop,3.8
300,Oasis,Stand By Me,rock|britpop,2.75
301,Oasis,Stop Crying Your Heart Out,britpop|rock,3.0
302,Jefferson Airplane,White Rabbit,psychedelic|rock,3.6666666666666665
303,Jefferson Airplane,Somebody To Love,psychedelic rock|folk rock,2.6
304,Anoushka Shankar,Ancient Love,world|indian classical|fusion,4.0
305,Anoushka Shankar,Prayer In Passing,world|classical,4.0
306,Anoushka Shankar,Beloved,world music|classical|indian classical,4.0
307,Anoushka Shankar,Your Eyes (Sitar Solo),world|indian classical,4.0
308,Benassi Bross Feat. Sandy,Feel Alive,electronic|dance,4.0
309,Mc Chris,Wiid,hip-hop|rap,5.0
310,Metric,Too Little Too Late,indie|alternative|rock,2.25
311,Metric,Combat Baby,indie|rock,3.1666666666666665
312,Metric,Succexy,indie rock|alternative rock,3.7142857142857135
313,Metric,Monster Hospital,indie|alternative|rock,2.625
314,Metric,Dead Disco,indie|alternative,3.375
315,Metric,Love Is A Place,indie|electronic|synthpop,3.25
316,Metric,The List,indie|alternative,3.8
317,Metric,Soft Rock Star,indie rock|alternative rock|electropop,3.0
318,Metric,Hustle Rose,indie|alternativerock|electronic,3.1666666666666665
319,Metric,Grow Up And Blow Away,indie|alternative,3.1666666666666665
320,Creedence Clearwater Revisited,Bad Moon Rising,rock|folk rock,3.5
321,Creedence Clearwater Revisited,Fortunate Son,rock|folk rock|roots rock,3.142857142857143
322,Creedence Clearwater Revisited,Lodi,rock|classic rock|blues,1.5
323,Creedence Clearwater Revisited,Down On The Corner,rock|classic rock|southern rock,2.0
324,Creedence Clearwater Revisited,Travelin' Band,rock|roots rock|swamp rock,4.0
325,Creedence Clearwater Revisited,Proud Mary,rock|classic rock,2.333333333333333
326,Creedence Clearwater Revisited,Green River,rock|blues,3.6666666666666665
327,Creedence Clearwater Revisited,Have You Ever Seen The Rain?,rock|folk,2.5
328,Creedence Clearwater Revisited,Lookin' Out My Back Door,rock|roots rock|blues rock,2.75
329,Creedence Clearwater Revisited,Who'Ll Stop The Rain,rock|classic rock|blues rock,3.5
330,Paramore,Pressure,pop|rock|alternative,5.0
331,Paramore,Emergency,pop|punk|emo,3.6666666666666665
332,Armin Van Buuren,Shivers,trance|progressive trance,3.0
333,Kevin Shields,City Girl,shoegaze|dream pop,2.75
334,The Prodigy,Smack My Bitch Up,electronic|big beat|techno,4.6
335,The Prodigy,Breathe,electronic|big beat,4.25
336,One Day As A Lion,Ocean View,rock|hip-hop,5.0
337,Clap Your Hands Say Yeah,Gimme Some Salt,indie|rock,3.0
338,Squarepusher,Tommib,electronic|experimental|idm,2.5
339,Squarepusher,Hello Meow,electronic|experimental,2.5
340,Cky,96 Quite Bitter Beings,alternative|hard rock,4.0
341,Fergie,Clumsy,pop|r&b,3.0
342,Fall Out Boy,"The Take Over, The Breaks Over",alternative rock|pop punk,4.2
343,Fall Out Boy,The Patron Saint Of Liars And Fakes,pop punk|alternative rock|emo,4.0
344,Fall Out Boy,7 Minutes In Heaven (Atavan Halen),pop|rock|emo,2.75
345,Fall Out Boy,The (After) Life Of The Party,pop|pop punk|alternative rock,4.0
346,Fall Out Boy,Nobody Puts Baby In The Corner,pop punk|emo,3.0
347,Fall Out Boy,Golden,pop|rock|alternative,4.5
348,Fall Out Boy,I'M Like A Lawyer With The Way I'M Always Trying To Get You Off (Me & You),pop|rock|alternative,4.0
349,Fall Out Boy,Bang The Doldrums,pop|rock|punk,4.0
350,Fall Out Boy,"Dance, Dance",pop|punk|rock,4.0
351,Fall Out Boy,Of All The Gin Joints In All The World,pop|punk rock|alternative rock,2.6
352,Fall Out Boy,Fame < Infamy,pop|rock,4.5
353,Fall Out Boy,Don'T You Know Who I Think I Am?,rock|alternative rock|pop punk,4.25
354,Fall Out Boy,Our Lawyer Made Us Change The Name Of This Song So We Wouldn'T Get Sued,pop|punk rock|emo,2.75
355,Fall Out Boy,"A Little Less Sixteen Candles, A Little More ""Touch Me""",pop|pop punk|alternative rock,3.0
356,Fall Out Boy,Sophomore Slump Or Comeback Of The Year,pop|punk|rock,3.4285714285714284
357,Fall Out Boy,"This Ain'T A Scene, It'S An Arms Race",pop|punk|rock,3.75
358,Fall Out Boy,Get Busy Living Or Get Busy Dying (Do Your Part To Save The Scene And Stop Going To Shows),pop punk|emo|alternative rock,3.0
359,Fall Out Boy,I Slept With Someone In Fall Out Boy And All I Got Was This Stupid Song Written About Me,pop|rock|punk,2.8
360,Fall Out Boy,"Champagne For My Real Friends, Real Pain For My Sham Friends",pop|punk|rock,2.8
361,Black Sabbath,St. Vitus Dance,metal|rock,1.5
362,Black Sabbath,Electric Funeral,rock|metal,2.5
363,Black Sabbath,Paranoid,metal|rock,3.571428571428572
364,Black Sabbath,Wishing Well,rock|hard rock|heavy metal,1.3333333333333333
365,Black Sabbath,Laguna Sunrise,rock|progressive rock|instrumental,2.333333333333333
366,Black Sabbath,War Pigs,metal|rock,2.6666666666666665
367,Black Sabbath,Megalomania,rock|metal,1.0
368,Black Sabbath,Tomorrow'S Dream,rock|metal,3.0
369,Black Sabbath,Heaven And Hell,heavy metal|hard rock,2.5
370,Black Sabbath,Voodoo,metal|rock,2.0
371,Black Sabbath,Changes,rock|heavy metal|ballad,2.0
372,Black Sabbath,Iron Man,metal|hard rock,3.0
373,Black Sabbath,Under The Sun,metal|rock,2.0
374,Black Sabbath,Who Are You,heavy metal|hard rock,2.0
375,Black Sabbath,Lonely Is The Word,heavy metal|hard rock,2.0
376,Arcade Fire,Neighborhood #3 (Power Out),indie rock|art rock|baroque pop,3.6875
377,Arcade Fire,Wake Up,indie rock|alternative rock,3.357142857142857
378,Rush,Freewill,progressive rock|hard rock|classic rock,2.5
379,Rush,A Passage To Bangkok,rock|progressive rock,3.5
380,Rush,Yyz,progressive rock|instrumental,3.6666666666666665
381,Rush,Limelight,progressive rock|hard rock,3.5
382,Pantera,Cowboys From Hell,metal|thrash metal,3.8333333333333335
383,The Marshall Tucker Band,Can'T You See,rock|country|southern rock,4.5
384,Kraftwerk,Neon Lights (Ton-Up Mix),electronic|techno,3.0
385,Kraftwerk,Computer World (Klick Mix),electronic|techno,3.0
386,The Ataris,I Won'T Spend Another Night Alone,pop punk|alternative rock,4.0
387,Yeah Yeah Yeahs,Date With The Night,rock|indie rock|garage rock,3.2857142857142856
388,Yeah Yeah Yeahs,Y Control,rock|indie rock|alternative,3.375
389,Yeah Yeah Yeahs,Tick,rock|alternative,2.8
390,Mickey Avalon,Friends And Lovers,hip hop|rap|pop,3.5
391,Mickey Avalon,"So Rich, So Pretty",hip-hop|electronic|pop,3.0
392,Tiga,Down In It,electronic|techno,3.0
393,Tiga,You Gonna Want Me,electronic|dance|house,3.75
394,Nirvana,Breed,alternative|grunge,3.2857142857142856
395,Nirvana,Drain You,alternative|grunge|rock,3.1666666666666665
396,Death In Vegas,Girls,electronic|alternative,3.5
397,Quiet Riot,Cum On Feel The Noize,hard rock|heavy metal,2.5
398,Simon & Garfunkel,The Only Living Boy In New York,folk|rock,2.333333333333333
399,Whitesnake,Still Of The Night,rock|hard rock|heavy metal,4.0
400,Calexico,Whipping The Horse'S Eyes,indie|folk|rock|americana,3.0
401,Calexico,Close Behind,indie rock|americana|alternative country,3.0
402,Calexico,Attack El Robot! Attack!,indie|rock|alternative,3.0
403,Calexico,Guero Canelo,alternative|indie|rock|latin,3.0
404,Calexico,Crumble,indie|americana|alt-country,3.0
405,Klaxons,It'S Not Over Yet,indie rock|electronic,3.5
406,Chromeo,Fancy Footwork,electro-funk|synth-pop,3.0
407,Dj Mehdi,Always Be An Angel,electronic|house,2.0
408,Dj Mehdi,Boggin',electronic|house,2.0
409,Ac/Dc,Highway To Hell,rock|hard rock,3.0
410,Ac/Dc,You Shook Me All Night Long,rock|hard rock,2.5
411,Tool,Sober,progressive metal|alternative metal,3.0
412,Tool,Rosetta Stoned,progressive metal|alternative metal|experimental metal,3.4444444444444446
413,Tool,Swamp Song,metal|alternative metal|progressive metal,2.6666666666666665
414,Tool,"Wings For Marie, Part 1",progressive metal|alternative metal,3.25
415,Tool,The Pot,progressive metal|alternative metal,3.7857142857142856
416,Tool,Vicarious,progressive metal|alternative metal,3.642857142857143
